iso2,canton,Montant,Bénéficiaires,Nombre d'étudiants,% bénéficaires,montant par bénéficiaire
CH,Suisse,167667579,20259,226220,,
ZH,Zurich,14503523,1429,40593,,
BE,Berne,12735287,1328,27969,,
LU,Lucerne,6118200,1071,12370,,
UR,Uri,923000,143,978,,
SZ,Schwyz,2958813,375,3769,,
OW,Obwald,1408283,154,1035,,
NW,Nidwald,818187,105,1238,,
GL,Glaris,937100,91,1017,,
ZG,Zoug,1473500,165,3642,,
FR,Fribourg,4911726,724,8478,,
SO,Soleure,5679420,724,7095,,
BS,Bâle-Ville,5378802,681,5604,,
BL,Bâle-Campagne,7807698,1005,8208,,
SH,Schaffhouse,1054125,184,2364,,
AR,Appenzell Rh.-E.,1131200,181,1660,,
AI,Appenzell Rh.-I.,568200,76,488,,
SG,Saint-Gall,3990860,682,14002,,
GR,Grisons,8838300,1367,5659,,
AG,Argovie,10882350,1133,16651,,
TG,Thurgovie,4845034,662,6890,,
TI,Tessin,15119284,1752,8093,,
VD,Vaud,26497090,2154,19472,,
VS,Valais,12177550,2088,8731,,
NE,Neuchâtel,3630112,605,5678,,
GE,Genève,9825179,970,12413,,
JU,Jura,3454756,433,2123,,
