, Loi fédérale relative à la recherche sur les cellules souches embryonnaires (2004), Initiative populaire «pour la protection de l'être humain contre les techniques de reproduction (2000)
Zurich,66.4  ,30.4  
Berne,61.7  ,28.9  
Lucerne,60.8  ,31.7  
Uri,57.5  ,34.4  
Schwytz,56.8  ,30.9  
Obwald,56.3  ,27.7  
Nidwald,60.5  ,24.4  
Glaris,61.2  ,25.9  
Zoug,62.5  ,29.8  
Fribourg,70.5  ,21.5  
Soleure,64.3  ,29.6  
Bâle-Ville,68.2  ,36.1  
Bâle-Campagne,69.4  ,28.1  
Schaffhouse,62.8  ,34.5  
Appenzell Rh.-E.,60.7  ,33.3  
Appenzell Rh.-I.,55.7  ,29.4  
Saint-Gall,59.4  ,34.3  
Grisons,61.9  ,33.9  
Argovie,64.1  ,29.5  
Thurgovie,59.5  ,32.4  
Tessin,68.0  ,38.1  
Vaud,83.9  ,15.2  
Valais,53.7  ,20.8  
Neuchâtel,75.0  ,19.9  
Genève,84.6  ,15.2  
Jura,70.7  ,19.3  
