"","x"
"1","AF"
"2","AL"
"3","DZ"
"4","AO"
"5","AG"
"6","AR"
"7","AM"
"8","AW"
"9","AU"
"10","AT"
"11","AZ"
"12","BS"
"13","BH"
"14","BD"
"15","BB"
"16","BY"
"17","BE"
"18","BZ"
"19","BJ"
"20","BO"
"21","BA"
"22","BW"
"23","BR"
"24","BN"
"25","BG"
"26","BF"
"27","BI"
"28","CV"
"29","KH"
"30","CM"
"31","CA"
"32","KY"
"33","CF"
"34","TD"
"35","CL"
"36","CN"
"37","MO"
"38","CO"
"39","CG"
"40","CR"
"41","HR"
"42","CU"
"43","CW"
"44","CY"
"45","CZ"
"46","CI"
"47","CD"
"48","DK"
"49","DJ"
"50","DO"
"51","EC"
"52","EG"
"53","SV"
"54","ER"
"55","EE"
"56","ET"
"57","FJ"
"58","FI"
"59","FR"
"60","GA"
"61","GM"
"62","GE"
"63","DE"
"64","GH"
"65","GR"
"66","GT"
"67","GN"
"68","GW"
"69","GY"
"70","HT"
"71","HN"
"72","HU"
"73","IS"
"74","IN"
"75","ID"
"76","IR"
"77","IQ"
"78","IE"
"79","IL"
"80","IT"
"81","JM"
"82","JP"
"83","JO"
"84","KZ"
"85","KE"
"86","KW"
"87","KG"
"88","LV"
"89","LB"
"90","LS"
"91","LR"
"92","LY"
"93","LI"
"94","LT"
"95","LU"
"96","MO"
"97","MG"
"98","MW"
"99","MY"
"100","ML"
"101","MT"
"102","MR"
"103","MX"
"104","MC"
"105","MN"
"106","ME"
"107","MA"
"108","MZ"
"109","MM"
"110","NA"
"111","NP"
"112","NL"
"113","NZ"
"114","NI"
"115","NE"
"116","NG"
"117","NO"
"118","OM"
"119","PK"
"120","PW"
"121","PA"
"122","PG"
"123","PY"
"124","PE"
"125","PH"
"126","PL"
"127","PT"
"128","QA"
"129","KR"
"130","MD"
"131","RO"
"132","RU"
"133","RW"
"134","KN"
"135","LC"
"136","SA"
"137","SN"
"138","RS"
"139","SL"
"140","SG"
"141","SX"
"142","SK"
"143","SI"
"144","SB"
"145","SO"
"146","ZA"
"147","SS"
"148","ES"
"149","LK"
"150","SD"
"151","SR"
"152","SZ"
"153","SE"
"154","CH"
"155","SY"
"156","TJ"
"157","TH"
"158","MK"
"159","TL"
"160","TG"
"161","TT"
"162","TN"
"163","TR"
"164","TM"
"165","TC"
"166","UG"
"167","UA"
"168","AE"
"169","GB"
"170","TZ"
"171","US"
"172","UY"
"173","UZ"
"174","VU"
"175","VE"
"176","VN"
"177","YE"
"178","ZM"
"179","ZW"
