x,english
Prix des crèches brut ,Price childcare brut
en % du salaire moyen,In % mean wage
Corée du Sud,Korea
France,France
Allemagne,Germany
Portugal,Portugal
Canada,Canada
Etats−Unis,US
Japon,Japan
Royaume Uni,UK
Pays−Bas,Netherlands
Suisse,Switzerland
Espagne,Spain
UE 28,UE
67 %,67 %
45 %,45 %
Prix des crèches net,Price childcare net
Frais facturés aux parents pour un enfant ,Amout charged to the parents
de 2 ans placé dans une crèche à plein temps,2 years old full time
Frais de crèche après déductions des avantages ,Childcare fees after rebates
financiers et fiscaux.,financial and fiscal 
Source: OCDE family database 2014 (données de 2012),source: OECD
 Espagne, Spain
